Test Case ID,Test scenerio,Test case title,Pre-requisites,Test steps,Test data,Expected result,Actual result,Result,Comment,screenshot
1,Validate the working of login account functionality.,Validate logging in an account with valid credentials .,1.Open the application    (https://demo.opencart.com) in any browser.                         2.register with valid credentials.,1.click on my account.                                                       2.select login  from dropdown menu.                                                        3.enter valid emial and password.                                                        4.click on login  button.(er-1)                                   ,naisha@gmail.com                                                            mahi@089,1.user should be logged in in account success page and proper display should be shown in the page.                                                  ,,,,
2,Validate the working of login account functionality.,Validate logging in an account with invalid credentials .,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login  from dropdown menu.                                                        3.enter invalid emial and password.                                                        4.click on login  button.(er-1)                                   ,mahi@gmail.com                                                            mahi@090,1.user should not be logged in and proper warning massage should be displayed.,,,,
3,Validate the working of login account functionality.,Validate logging in an account with valid email and invalid password .,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login  from dropdown menu.                                                        3.enter valid emial and in valid password.                                                        4.click on login  button.(er-1)                                   ,naisha@gmail.com                                                            mahi@090,1.user should not be logged in and proper warning massage should be displayed for invalid password.,,,,
4,Validate the working of login account functionality.,Validate logging in an account with valid password and invalid email .,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login  from dropdown menu.                                                        3.enter invalid emial and  valid password.                                                        4.click on login  button.(er-1)                                   ,mahiat@gmail.com                                                            mahi@089,1.user should not be logged in and proper warning massage should be displayed invalid email..,,,,
5,Validate the working of login account functionality.,Validate logging in an account with no credentials .,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                        2.select login from dropdown menu.                                                        3.enter  no values in emial and password fields.,N/A,1.account should not be created.proper warning message should be displayed.,,,,
6,Validate the working of login account functionality.,validate the values in the password can not be copied.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                       2.select login from dropdown menu.                                                        3.enter  values in the  password  field.                                                               4.select the text entered in the password field ,right click to select copy option.  er-1                                                  5.select the text entered in the password field,pressed( ctrl+c) er-2.",N/A,1.copy option should not work.                                                         2.password should not nbe copied.,,,,
7,Validate the working of login account functionality.,validate the values in the password is hidden from the page source.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                                 2.select login from dropdown menu.                                                        3.enter  values in the  password fields.                                                               4.inspect the password field.,N/A,1.password is hidden from pahe source.,,,,
8,Validate the working of login account functionality.,validate  the number of unsuccessful attempt with invalid credentials.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                                 2.select login from dropdown menu.                                                        3.enter  invalid credentials .                                                              4.click on login  button.  er-1                                                              5.repeat above steps 5 times.                                                                                                                                                   ,N/A,1.account should  be locked after 5th unsuccessful attempt.,,,,
9,Validate the working of login account functionality.,validate  logging into the application and browsing back using browser back button.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                                 2.select login from dropdown menu.                                                        3.enter  valid credentials .                                                              4.click on login  button.  er-1                                                              5.click browser back button.er2                                                                                                                                                 ,naisha@gmail.com                                                              mahi@089,1.succesfully logged in      .                                                              2.user should not be logged out.,,,,
10,Validate the working of login account functionality.,validate  logging out  from  the application and browsing back using browser back button.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                                 2.select login from dropdown menu.                                                        3.enter  valid credentials .                                                              4.click on login  button.  er-1                                                              5.click on my account.                                                                                6.select logout from dropdown menu.er2,N/A,1.succesfully logged in      .                                                              2.user should not be logged in.,,,,
