Test Case ID,Test scenerio,Test case title,Pre-requisites,Test steps,Test data,Expected result,Actual result,Result,Comment,screenshot
1,Validate the working of register account functionality.,Validate regestering an account by providing only mendatory fields,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                    2.select register from dropdown menu.                                                        3.enter new account details into mendatory fields (first name,last name,email,telephone,password,password confirm,privacy policy)with valid inputs.                                                         4.click on continue button.(er-1)          5.click on continue button on account success page.",N/A,1.user should be logged in in account success page and proper display should be shown in the page.                                         2.user should be taken to account page    and confirm mail should be send the the registated mail.           ,,,,
2,Validate the working of register account functionality.,Validate 'thank you for regestering ' email send to the regesterd mail.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter new account details into mendatory fields (first name,last name,email,telephone,password,password confirm,privacy policy)with valid inputs.                                                         4.click on continue button.                                        5.click on continue button on account success page (er-1,er-2).                                                                                  6.click on the login page link from the email body(er-3).",N/A,"1.validate a confirmation mail for regestering the account is sent to the registered email address with email subject, body and from address .                            2.Validate Login page link in the in the email.            3.user sgould be taken to login page.",,,,
3,Validate the working of register account functionality.,validate regestering an account by providing all fields.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter new account details into mendatory fields (first name, lastname, email , telephone, password, password confirm,privacy policy)with valid inputs.                                                                     4.click on continue button.  er-1                                      5.click on continue button on account success page er-2).                                                                                  ",N/A,1.user should be logged in in account success page and proper display should be shown in the page.                                         2.user should be taken to account page    and confirm mail should be send the the registated mail.           ,,,,
4,Validate the working of register account functionality.,validate  showing proper warning message when no inputes are provided to the mendetory fields and click continue button.  ,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter no values in the mendetory (first name, lastname, email , telephone, password, password confirm,privacy policy) fields.                                                               4.click on continue button.  er-1                                                                                                                       ",N/A,"1.proper warning message shown  foe each medetory fields.     Such as                                                                 a. for first name display ""name must be between 2 to 32 characters' warning message  .                                                                            b.   for last name display ""name must be between 2 to 32 characters'  warning message .                                                                            c.for email display ' email does not appear to be valid'  warning message.                                                                                                  d.  for password display ' password must be between 5 to 20 characters ' warning message.                                                  e. for telephone display 'telephone must between 9 to 11 characters' warning message .                               f.for privacy policy display ' You must agree to the privacy policy ' warning message.                                                    ",,,,
5,Validate the working of register account functionality.,validate showing warning massage for  invalid telephone inputs.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the  telephone field.                                                               4.click on continue button.  er-1,invalid phone                   1)1234                                  2)abcd,1.account should not be created.proper warning message should be displayed.,,,,
6,Validate the working of register account functionality.,validate showing warning massage for  invalid email inputs.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the  telephon field.                                                               4.click on continue button.  er-1,invalid email                                      1)naisha                                                2)naisha@                                                3)naisha@gmail                                 4)naisha@gmailcom,1.account should not be created.proper warning message should be displayed.,,,,
7,Validate the working of register account functionality.,validate showing warning massage when password and confirm password do not match.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the  password and confirm password fields.                                                               4.click on continue button.  er-1,password-mahi@089                   confirm password-   naisha@089,1.account should not be created.proper warning message'password do not match' should be displayed.,,,,
8,Validate the working of register account functionality.,validate showing warning mssage when registering with already registered account.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the fields (first name, lastname, email , telephone, password, password confirm,privacy policy) fields.                                                               4.click on continue button.  er-1                                                                                                                       ",naisha Mahiat                                       chowdhury                                                      naisha@gmail.com                                   01842412318                                                          mahi@089                                                  mahi@089                                                         ,1.account should not be created.proper warning message'account already registed' should be displayed.,,,,
9,Validate the working of register account functionality.,validate registering with 'yes' option selected for newsletter.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the fields (first name, lastname, email , telephone, password, password confirm,privacy policy) fields.                 4.select yes option for newsletter.                                                              5.click on continue button.  er-1                              6.click continue in the account success page.er-2                                                                                                                                                                                           ",N/A,1.succesfully created account                           2.user should be taken to account page  and yes option should be displayed in the newsletter page.,,,,
10,Validate the working of register account functionality.,validate registering with 'no' option selected for newsletter.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the fields (first name, lastname, email , telephone, password, password confirm,privacy policy) fields.                 4.select no option for newsletter.                                                              5.click on continue button.  er-1                              6.click continue in the account success page.er-2                                                                                                                                                                                           ",N/A,1.succesfully created account                           2.user should be taken to account page  and no option should be displayed in the newsletter page.,,,,
